Crash ID,Crash Time,Day of Week
16842945,45,TUESDAY
16843659,357,TUESDAY
16844503,400,TUESDAY
16844753,355,TUESDAY
16844759,332,TUESDAY
16847168,1846,TUESDAY
16847520,130,TUESDAY
16847755,300,TUESDAY
16848061,35,TUESDAY
16848204,46,TUESDAY
16848650,155,TUESDAY
16850169,352,TUESDAY
16850267,1905,TUESDAY
16852004,2100,TUESDAY
16852054,16,TUESDAY
16853460,233,TUESDAY
16854697,145,TUESDAY
16856196,251,TUESDAY
16857519,118,TUESDAY
16858007,18,TUESDAY
16859126,330,TUESDAY
16864350,241,TUESDAY
16865343,250,TUESDAY
16868720,210,TUESDAY
16869515,141,TUESDAY
16873064,30,TUESDAY
16881526,716,TUESDAY
16983993,145,TUESDAY
17470911,130,TUESDAY
17663544,143,TUESDAY
16844630,1834,WEDNESDAY
16845815,1900,WEDNESDAY
16849768,2345,WEDNESDAY
16850149,2140,WEDNESDAY
16857501,1639,WEDNESDAY
16860043,131,WEDNESDAY
16874784,10,WEDNESDAY
16987728,2140,WEDNESDAY
17637269,2307,WEDNESDAY
16843596,2154,THURSDAY
16848206,2131,THURSDAY
16848793,1835,THURSDAY
16850038,2235,THURSDAY
16852297,2233,THURSDAY
16856443,155,THURSDAY
16860978,1846,THURSDAY
16862443,2340,THURSDAY
16870608,1154,THURSDAY
16910806,1705,THURSDAY
16986541,235,THURSDAY
16845312,943,FRIDAY
16845594,34,FRIDAY
16848695,2201,FRIDAY
16849022,1910,FRIDAY
16849756,209,FRIDAY
16849811,1702,FRIDAY
16850146,225,FRIDAY
16851245,713,FRIDAY
16852442,2322,FRIDAY
16853175,1630,FRIDAY
16853455,2229,FRIDAY
16853456,2229,FRIDAY
16853482,235,FRIDAY
16854014,111,FRIDAY
16859715,2245,FRIDAY
16863613,2306,FRIDAY
16864343,230,FRIDAY
16870603,2016,FRIDAY
16874313,320,FRIDAY
16932326,333,FRIDAY
16984083,1650,FRIDAY
17118878,225,FRIDAY
16843042,500,SATURDAY
16844262,24,SATURDAY
16845652,2135,SATURDAY
16846491,1250,SATURDAY
16846575,100,SATURDAY
16846918,2009,SATURDAY
16846940,914,SATURDAY
16847899,227,SATURDAY
16848919,750,SATURDAY
16849205,2330,SATURDAY
16850183,2116,SATURDAY
16850281,2304,SATURDAY
16850458,1853,SATURDAY
16850594,2121,SATURDAY
16851159,2359,SATURDAY
16853313,200,SATURDAY
16856140,353,SATURDAY
