Crash ID,County,Crash Death Count,Driver Blood Alcohol Content Test Result,Unit Death Count,Vehicle Model Year,Person Age
16842945,WHARTON,0,0.213,0,2013,20
16843659,EL PASO,0,No Data,0,2009,35
16844503,BEXAR,0,No Data,0,2004,38
16844753,HIDALGO,0,No Data,0,2015,27
16844759,JOHNSON,0,0.201,0,2013,46
16847168,JOHNSON,0,0.201,0,2000,62
16847520,KERR,0,0.178,0,2008,21
16847520,KERR,0,0.178,0,2008,19
16847755,ECTOR,0,No Data,0,2016,No Data
16847755,ECTOR,0,No Data,0,2016,No Data
16848061,MILAM,0,No Data,0,2003,71
16848204,TRAVIS,0,0.115,0,2018,25
16848204,TRAVIS,0,0.115,0,2018,25
16848650,HIDALGO,0,0.179,0,2017,26
16848650,HIDALGO,0,No Data,0,2000,23
16848650,HIDALGO,0,No Data,0,2000,22
16850169,TARRANT,0,0.096,0,2011,37
16850267,FORT BEND,0,No Data,0,2013,31
16852004,BELL,0,0.253,0,2016,31
16852004,BELL,0,No Data,0,2007,20
16852004,BELL,0,No Data,0,2007,27
16852054,ECTOR,0,No Data,0,2016,30
16852054,ECTOR,0,No Data,0,2015,40
16852054,ECTOR,0,No Data,0,2015,19
16853460,HARRIS,0,0.203,0,2006,29
16853460,HARRIS,0,No Data,0,2012,48
16853460,HARRIS,0,No Data,0,2016,39
16853460,HARRIS,0,No Data,0,2016,55
16853460,HARRIS,0,No Data,0,2016,15
16853460,HARRIS,0,No Data,0,2016,15
16853460,HARRIS,0,No Data,0,2016,18
16854697,TRAVIS,0,No Data,0,2013,28
16856196,EL PASO,0,0.113,0,2011,27
16857519,YOAKUM,0,0.226,0,2018,36
16858007,WARD,0,No Data,0,2015,35
16858007,WARD,0,0.239,0,1992,29
16859126,GALVESTON,0,No Data,0,No Data,No Data
16864350,LAVACA,0,No Data,0,2012,25
16865343,CALDWELL,0,No Data,0,2008,26
16868720,HIDALGO,0,0.08,0,1994,21
16868720,HIDALGO,0,0.08,0,1994,20
16868720,HIDALGO,0,No Data,0,2014,21
16869515,HARRIS,0,0.154,0,2011,23
16869515,HARRIS,0,0.154,0,2011,24
16869515,HARRIS,0,0.154,0,2011,25
16873064,ECTOR,0,0.117,0,2006,36
16873064,ECTOR,0,0.117,0,2006,46
16873064,ECTOR,0,0.117,0,2006,38
16873064,ECTOR,0,0.117,0,2006,28
